post_id,post_country,post_language,likes_cnt,comments_cnt,saved_cnt,post_type
0000,India,Hindi,109,11,8,Reel
0000,India,Hindi,110,14,13,Reel
0000,India,Hindi,112,9,11,Reel
0000,India,Hindi,107,10,9,Reel
0000,India,Hindi,115,8,12,Reel
0000,India,Hindi,102,15,13,Reel
0000,India,Hindi,107,7,12,Reel
0001,Italy,Hindi,30,10,8,Image
0001,Italy,Hindi,46,6,6,Image
0001,Italy,Hindi,45,6,4,Image
0001,Italy,Hindi,28,4,6,Image
0001,Italy,Hindi,35,13,8,Image
0001,Italy,Hindi,39,12,5,Image
0002,Japan,Hindi,102,33,16,Video
0002,Japan,Hindi,106,33,16,Video
0002,Japan,Hindi,111,27,11,Video
0002,Japan,Hindi,106,30,11,Video
0002,Japan,Hindi,108,32,16,Video
0002,Japan,Hindi,112,31,15,Video
0002,Japan,Hindi,111,35,16,Video
0003,Italy,Spanish,99,18,2,Text
0003,Italy,Spanish,93,23,2,Text
0003,Italy,Spanish,89,17,4,Text
0003,Italy,Spanish,95,18,8,Text
0004,Germany,Spanish,225,40,28,Video
0004,Germany,Spanish,206,48,32,Video
0004,Germany,Spanish,216,41,30,Video
0004,Germany,Spanish,215,45,28,Video
0005,USA,Japanese,198,24,8,Video
0005,USA,Japanese,198,30,13,Video
0005,USA,Japanese,200,29,8,Video
0006,Australia,Hindi,189,45,21,Video
0006,Australia,Hindi,196,42,21,Video
0006,Australia,Hindi,198,46,19,Video
0006,Australia,Hindi,181,42,23,Video
0007,Italy,Japanese,110,32,17,Image
0007,Italy,Japanese,106,34,20,Image
0007,Italy,Japanese,119,31,22,Image
0007,Italy,Japanese,105,26,22,Image
0007,Italy,Japanese,122,26,22,Image
0008,Australia,French,325,49,22,Reel
0008,Australia,French,326,57,18,Reel
0008,Australia,French,341,53,18,Reel
0009,USA,Hindi,155,32,8,Text
0009,USA,Hindi,148,30,9,Text
0009,USA,Hindi,156,25,6,Text
0010,India,Spanish,42,5,7,Text
0010,India,Spanish,50,13,5,Text
0010,India,Spanish,35,6,5,Text
0010,India,Spanish,54,11,11,Text
0010,India,Spanish,47,5,6,Text
0011,Italy,French,111,31,5,Video
0011,Italy,French,125,37,11,Video
0011,Italy,French,122,29,9,Video
0011,Italy,French,127,32,7,Video
0011,Italy,French,126,35,9,Video
0012,India,Japanese,154,39,22,Video
0012,India,Japanese,166,37,26,Video
0012,India,Japanese,168,38,27,Video
0012,India,Japanese,159,42,25,Video
0013,France,Japanese,171,39,8,Reel
0013,France,Japanese,182,44,8,Reel
0013,France,Japanese,176,43,8,Reel
0013,France,Japanese,175,37,12,Reel
0014,Italy,German,106,27,13,Text
0014,Italy,German,112,25,9,Text
0014,Italy,German,107,26,8,Text
0014,Italy,German,106,17,13,Text
0015,Canada,French,110,18,8,Video
0015,Canada,French,109,20,13,Video
0015,Canada,French,95,27,12,Video
0015,Canada,French,103,21,12,Video
0016,Italy,English,221,29,34,Reel
0016,Italy,English,231,27,34,Reel
0016,Italy,English,232,25,28,Reel
0016,Italy,English,222,31,34,Reel
0017,India,Spanish,118,26,6,Reel
0017,India,Spanish,108,28,6,Reel
0017,India,Spanish,108,26,8,Reel
0017,India,Spanish,102,32,10,Reel
0018,India,Hindi,80,23,5,Image
0018,India,Hindi,79,24,7,Image
0018,India,Hindi,76,23,5,Image
0018,India,Hindi,83,23,9,Image
0018,India,Hindi,81,21,7,Image
0018,India,Hindi,79,16,5,Image
0019,Japan,German,122,16,21,Reel
0019,Japan,German,118,12,16,Reel
0019,Japan,German,119,18,17,Reel
0019,Japan,German,128,14,17,Reel
0019,Japan,German,130,18,17,Reel
0019,Japan,German,134,21,20,Reel
0020,Brazil,English,87,27,10,Reel
0020,Brazil,English,84,25,9,Reel
0020,Brazil,English,87,25,7,Reel
0020,Brazil,English,83,23,12,Reel
0020,Brazil,English,90,20,11,Reel
0020,Brazil,English,89,18,10,Reel
0020,Brazil,English,74,24,12,Reel
0021,France,Japanese,223,57,16,Video
0021,France,Japanese,216,58,15,Video
0021,France,Japanese,227,65,14,Video
0021,France,Japanese,215,58,19,Video
0022,Japan,Japanese,76,13,15,Video
0022,Japan,Japanese,73,21,13,Video
0022,Japan,Japanese,78,22,9,Video
0022,Japan,Japanese,72,21,13,Video
0022,Japan,Japanese,86,14,10,Video
0022,Japan,Japanese,86,22,15,Video
0022,Japan,Japanese,76,19,11,Video
0023,Australia,Spanish,121,9,10,Video
0023,Australia,Spanish,111,15,9,Video
0023,Australia,Spanish,122,8,6,Video
0023,Australia,Spanish,114,12,6,Video
0023,Australia,Spanish,111,13,6,Video
0023,Australia,Spanish,119,8,6,Video
0023,Australia,Spanish,109,14,10,Video
0024,UK,French,365,83,47,Reel
0024,UK,French,373,76,47,Reel
0024,UK,French,373,73,48,Reel
0025,Japan,Portuguese,88,25,11,Reel
0025,Japan,Portuguese,84,28,11,Reel
0025,Japan,Portuguese,85,23,11,Reel
0025,Japan,Portuguese,84,20,13,Reel
0025,Japan,Portuguese,90,18,11,Reel
0025,Japan,Portuguese,91,23,9,Reel
0025,Japan,Portuguese,91,25,11,Reel
0026,Italy,Portuguese,134,14,25,Reel
0026,Italy,Portuguese,136,9,24,Reel
0026,Italy,Portuguese,127,10,22,Reel
0026,Italy,Portuguese,133,11,23,Reel
0027,Canada,Portuguese,66,14,4,Video
0027,Canada,Portuguese,66,19,2,Video
0027,Canada,Portuguese,61,19,2,Video
0027,Canada,Portuguese,61,17,6,Video
0027,Canada,Portuguese,68,11,3,Video
0027,Canada,Portuguese,60,13,2,Video
0027,Canada,Portuguese,62,20,2,Video
0028,USA,Japanese,189,27,30,Video
0028,USA,Japanese,200,28,30,Video
0028,USA,Japanese,184,29,28,Video
0029,UK,German,47,2,6,Image
0029,UK,German,44,8,6,Image
0029,UK,German,41,3,7,Image
0029,UK,German,55,6,8,Image
0029,UK,German,44,9,4,Image
0029,UK,German,54,8,6,Image
0030,Brazil,Hindi,153,40,15,Reel
0030,Brazil,Hindi,138,40,13,Reel
0030,Brazil,Hindi,142,42,10,Reel
0030,Brazil,Hindi,136,38,12,Reel
0030,Brazil,Hindi,136,32,14,Reel
0030,Brazil,Hindi,134,41,12,Reel
0031,UK,Hindi,169,33,27,Text
0031,UK,Hindi,164,28,25,Text
0031,UK,Hindi,165,34,26,Text
0032,India,English,249,43,26,Reel
0032,India,English,244,39,25,Reel
0032,India,English,263,41,27,Reel
0032,India,English,261,46,25,Reel
0033,France,Spanish,57,13,14,Text
0033,France,Spanish,61,12,14,Text
0033,France,Spanish,69,14,15,Text
0033,France,Spanish,64,16,10,Text
0033,France,Spanish,62,11,16,Text
0033,France,Spanish,68,17,12,Text
0033,France,Spanish,68,15,12,Text
0034,Brazil,English,104,19,3,Text
0034,Brazil,English,102,27,7,Text
0034,Brazil,English,96,24,4,Text
0034,Brazil,English,106,22,2,Text
0035,Canada,French,56,17,11,Text
0035,Canada,French,60,18,9,Text
0035,Canada,French,70,12,9,Text
0036,Germany,Japanese,271,35,34,Reel
0036,Germany,Japanese,279,29,32,Reel
0036,Germany,Japanese,271,26,33,Reel
0037,India,Portuguese,188,46,28,Video
0037,India,Portuguese,203,52,29,Video
0037,India,Portuguese,203,51,30,Video
0037,India,Portuguese,198,42,34,Video
0038,Canada,Hindi,56,11,1,Text
0038,Canada,Hindi,57,8,0,Text
0038,Canada,Hindi,55,11,1,Text
0038,Canada,Hindi,58,11,2,Text
0038,Canada,Hindi,59,12,2,Text
0038,Canada,Hindi,46,12,5,Text
0039,France,Japanese,216,71,17,Reel
0039,France,Japanese,211,62,21,Reel
0039,France,Japanese,216,63,18,Reel
0039,France,Japanese,231,68,18,Reel
0039,France,Japanese,222,63,20,Reel
0040,USA,German,94,15,17,Image
0040,USA,German,105,16,16,Image
0040,USA,German,102,10,15,Image
0040,USA,German,102,11,19,Image
0040,USA,German,97,10,17,Image
0041,Italy,Hindi,268,34,26,Reel
0041,Italy,Hindi,261,36,27,Reel
0041,Italy,Hindi,269,41,23,Reel
0042,Australia,Japanese,119,32,11,Reel
0042,Australia,Japanese,133,30,11,Reel
0042,Australia,Japanese,122,29,10,Reel
0042,Australia,Japanese,123,26,15,Reel
0042,Australia,Japanese,126,36,10,Reel
0042,Australia,Japanese,124,26,10,Reel
0043,Japan,Hindi,52,14,8,Image
0043,Japan,Hindi,57,11,12,Image
0043,Japan,Hindi,58,13,9,Image
0043,Japan,Hindi,55,9,8,Image
0043,Japan,Hindi,54,12,6,Image
0043,Japan,Hindi,49,13,7,Image
0043,Japan,Hindi,42,17,6,Image
0044,USA,Hindi,82,12,8,Text
0044,USA,Hindi,81,11,12,Text
0044,USA,Hindi,86,16,12,Text
0044,USA,Hindi,72,11,13,Text
0044,USA,Hindi,86,14,10,Text
0044,USA,Hindi,77,14,8,Text
0044,USA,Hindi,81,19,7,Text
0045,Australia,German,31,13,6,Image
0045,Australia,German,35,7,0,Image
0045,Australia,German,51,7,0,Image
0045,Australia,German,41,6,3,Image
0045,Australia,German,33,4,3,Image
0045,Australia,German,49,4,3,Image
0045,Australia,German,35,10,6,Image
0046,Australia,German,87,20,18,Video
0046,Australia,German,81,27,17,Video
0046,Australia,German,82,27,15,Video
0046,Australia,German,90,26,16,Video
0046,Australia,German,89,28,16,Video
0046,Australia,German,79,27,14,Video
0046,Australia,German,72,29,12,Video
0047,Germany,Japanese,67,13,3,Text
0047,Germany,Japanese,67,16,2,Text
0047,Germany,Japanese,71,15,6,Text
0047,Germany,Japanese,76,14,5,Text
0047,Germany,Japanese,65,17,4,Text
0048,India,French,308,71,40,Reel
0048,India,French,313,70,41,Reel
0048,India,French,312,71,43,Reel
0049,Australia,Spanish,142,25,10,Text
0049,Australia,Spanish,142,20,10,Text
0049,Australia,Spanish,141,20,9,Text
0050,Germany,Japanese,142,24,27,Reel
0050,Germany,Japanese,145,21,26,Reel
0050,Germany,Japanese,144,21,24,Reel
0050,Germany,Japanese,137,30,23,Reel
0050,Germany,Japanese,147,31,24,Reel
0050,Germany,Japanese,144,28,25,Reel
0050,Germany,Japanese,135,27,23,Reel
0051,France,Hindi,123,18,9,Reel
0051,France,Hindi,119,25,8,Reel
0051,France,Hindi,123,18,3,Reel
0051,France,Hindi,117,20,5,Reel
0051,France,Hindi,134,23,4,Reel
0051,France,Hindi,132,18,7,Reel
0052,USA,Spanish,192,42,36,Video
0052,USA,Spanish,192,42,32,Video
0052,USA,Spanish,192,38,30,Video
0053,UK,Japanese,72,9,12,Text
0053,UK,Japanese,71,8,13,Text
0053,UK,Japanese,63,16,12,Text
0053,UK,Japanese,67,14,7,Text
0054,Australia,French,129,26,23,Reel
0054,Australia,French,145,28,27,Reel
0054,Australia,French,136,20,23,Reel
0054,Australia,French,132,20,27,Reel
0054,Australia,French,135,23,27,Reel
0054,Australia,French,143,26,29,Reel
0054,Australia,French,139,23,26,Reel
0055,Australia,English,57,6,12,Image
0055,Australia,English,60,4,13,Image
0055,Australia,English,53,11,14,Image
0055,Australia,English,53,9,11,Image
0055,Australia,English,67,7,11,Image
0055,Australia,English,58,4,8,Image
