post_id,post_type,genre,hash_tags,most_related_tag
0000,Reel,Fitness,"['AI', 'fashion', 'art', 'science', 'machinelearning', 'forest', 'travel']",art
0001,Image,Nature,"['music', 'education', 'vacation', 'science', 'nature', 'art']",education
0002,Video,Fashion,"['nature', 'learning', 'coding', 'culture', 'technology', 'AI', 'fitness']",nature
0003,Text,Fashion,"['science', 'culture', 'education', 'beach']",education
0004,Video,Health,"['coding', 'students', 'fitness', 'wildlife']",coding
0005,Video,Travel,"['culture', 'art', 'science']",art
0006,Video,Education,"['fashion', 'wildlife', 'music', 'culture']",wildlife
0007,Image,Fashion,"['art', 'coding', 'beach', 'recipe', 'adventure']",adventure
0008,Reel,Fashion,"['beach', 'machinelearning', 'coding']",coding
0009,Text,Health,"['adventure', 'food', 'health']",adventure
0010,Text,Technology,"['sports', 'recipe', 'forest', 'coding', 'fitness']",recipe
0011,Video,Cooking,"['fitness', 'AI', 'science', 'travel', 'wildlife']",science
0012,Video,Fitness,"['coding', 'science', 'fitness', 'travel']",science
0013,Reel,Cooking,"['AI', 'art', 'music', 'science']",AI
0014,Text,Music,"['sports', 'education', 'travel', 'food']",food
0015,Video,Technology,"['culture', 'coding', 'food', 'travel']",culture
0016,Reel,Education,"['beach', 'recipe', 'machinelearning', 'fitness']",recipe
0017,Reel,Technology,"['fitness', 'vacation', 'coding', 'students']",students
0018,Image,Fitness,"['travel', 'recipe', 'coding', 'beach', 'fashion', 'culture']",coding
0019,Reel,Education,"['AI', 'recipe', 'adventure', 'art', 'vacation', 'travel']",AI
0020,Reel,Technology,"['sports', 'music', 'technology', 'fitness', 'forest', 'adventure', 'machinelearning']",adventure
0021,Video,Health,"['learning', 'wildlife', 'recipe', 'science']",science
0022,Video,Cooking,"['vacation', 'wildlife', 'sports', 'education', 'nature', 'music', 'fitness']",education
0023,Video,Education,"['wildlife', 'adventure', 'vacation', 'recipe', 'travel', 'education', 'technology']",adventure
0024,Reel,Music,"['adventure', 'travel', 'health']",adventure
0025,Reel,Cooking,"['forest', 'science', 'coding', 'fitness', 'students', 'vacation', 'machinelearning']",forest
0026,Reel,Nature,"['food', 'health', 'culture', 'wildlife']",wildlife
0027,Video,Technology,"['sports', 'education', 'vacation', 'nature', 'culture', 'travel', 'food']",food
0028,Video,Cooking,"['food', 'culture', 'machinelearning']",culture
0029,Image,Nature,"['technology', 'science', 'art', 'forest', 'machinelearning', 'fitness']",fitness
0030,Reel,Education,"['art', 'adventure', 'science', 'students', 'education', 'machinelearning']",science
0031,Text,Music,"['AI', 'food', 'music']",food
0032,Reel,Fashion,"['science', 'technology', 'fitness', 'recipe']",fitness
0033,Text,Music,"['technology', 'beach', 'coding', 'learning', 'science', 'students', 'wildlife']",students
0034,Text,Education,"['education', 'AI', 'culture', 'science']",education
0035,Text,Nature,"['science', 'recipe', 'students']",students
0036,Reel,Health,"['science', 'nature', 'culture']",nature
0037,Video,Fashion,"['health', 'machinelearning', 'coding', 'AI']",machinelearning
0038,Text,Travel,"['nature', 'wildlife', 'culture', 'health', 'food', 'fashion']",wildlife
0039,Reel,Music,"['music', 'forest', 'coding', 'AI', 'machinelearning']",coding
0040,Image,Health,"['education', 'art', 'wildlife', 'coding', 'travel']",art
0041,Reel,Health,"['food', 'travel', 'nature']",nature
0042,Reel,Travel,"['travel', 'coding', 'wildlife', 'technology', 'recipe', 'sports']",technology
0043,Image,Cooking,"['education', 'art', 'machinelearning', 'culture', 'nature', 'recipe', 'wildlife']",art
0044,Text,Music,"['wildlife', 'sports', 'science', 'fitness', 'AI', 'food', 'technology']",sports
0045,Image,Technology,"['technology', 'fashion', 'sports', 'art', 'culture', 'food', 'science']",science
0046,Video,Fitness,"['machinelearning', 'coding', 'health', 'technology', 'culture', 'education', 'fitness']",health
0047,Text,Fitness,"['nature', 'technology', 'coding', 'fashion', 'sports']",technology
0048,Reel,Fashion,"['beach', 'forest', 'nature']",forest
0049,Text,Health,"['fashion', 'technology', 'adventure']",adventure
0050,Reel,Fashion,"['students', 'culture', 'forest', 'technology', 'coding', 'nature', 'AI']",coding
0051,Reel,Education,"['science', 'travel', 'nature', 'vacation', 'beach', 'fashion']",nature
0052,Video,Travel,"['learning', 'students', 'wildlife']",learning
0053,Text,Technology,"['music', 'culture', 'fitness', 'sports']",fitness
0054,Reel,Health,"['coding', 'education', 'science', 'machinelearning', 'students', 'nature', 'fitness']",education
0055,Image,Technology,"['wildlife', 'nature', 'science', 'learning', 'fitness', 'food']",nature
0056,Reel,Cooking,"['students', 'art', 'fitness', 'learning']",learning
0057,Video,Travel,"['culture', 'health', 'forest']",health
0058,Image,Sports,"['technology', 'culture', 'beach', 'fashion']",fashion
0059,Reel,Health,"['students', 'science', 'adventure', 'beach']",beach
0060,Text,Health,"['AI', 'technology', 'machinelearning', 'fashion', 'health', 'students', 'education']",machinelearning
0061,Image,Nature,"['nature', 'health', 'beach', 'forest', 'AI', 'technology']",nature
0062,Video,Cooking,"['health', 'forest', 'recipe', 'fashion']",forest
0063,Reel,Travel,"['machinelearning', 'forest', 'coding']",coding
0064,Image,Nature,"['vacation', 'adventure', 'health', 'coding']",vacation
0065,Image,Fitness,"['vacation', 'technology', 'machinelearning', 'wildlife', 'learning']",wildlife
0066,Image,Sports,"['learning', 'education', 'adventure', 'sports', 'machinelearning', 'art', 'music']",music
0067,Image,Cooking,"['AI', 'vacation', 'science', 'learning']",science
0068,Image,Health,"['beach', 'education', 'learning', 'fashion', 'vacation', 'forest']",education
0069,Reel,Fashion,"['forest', 'coding', 'fashion', 'learning', 'beach', 'culture', 'wildlife']",forest
0070,Text,Education,"['science', 'beach', 'travel', 'education', 'food', 'fitness']",education
0071,Text,Travel,"['learning', 'AI', 'beach', 'students', 'health']",AI
0072,Text,Fashion,"['fitness', 'coding', 'fashion', 'music', 'beach', 'nature', 'travel']",coding
0073,Video,Sports,"['fashion', 'wildlife', 'vacation', 'sports']",fashion
0074,Text,Health,"['education', 'art', 'forest', 'coding', 'vacation']",forest
0075,Image,Travel,"['nature', 'music', 'students']",students
0076,Image,Travel,"['coding', 'science', 'health', 'fitness', 'art']",art
0077,Text,Sports,"['food', 'wildlife', 'students']",food
0078,Reel,Cooking,"['food', 'fashion', 'technology', 'sports', 'machinelearning']",fashion
0079,Image,Health,"['wildlife', 'learning', 'education', 'nature']",learning
0080,Image,Nature,"['nature', 'food', 'science', 'wildlife', 'recipe', 'machinelearning', 'music']",science
0081,Reel,Education,"['learning', 'beach', 'vacation', 'adventure']",vacation
0082,Image,Nature,"['technology', 'AI', 'coding', 'nature', 'fashion']",coding
0083,Video,Sports,"['nature', 'machinelearning', 'food']",food
0084,Image,Health,"['fitness', 'wildlife', 'beach', 'vacation']",vacation
0085,Text,Music,"['vacation', 'forest', 'food']",forest
0086,Image,Music,"['wildlife', 'health', 'beach', 'coding', 'culture', 'technology', 'students']",technology
0087,Reel,Fitness,"['students', 'beach', 'learning', 'sports', 'fashion', 'health', 'adventure']",beach
0088,Video,Fitness,"['fitness', 'technology', 'machinelearning']",technology
0089,Text,Education,"['fashion', 'machinelearning', 'nature', 'recipe', 'education', 'food']",education
0090,Video,Cooking,"['beach', 'fashion', 'fitness', 'sports']",fashion
0091,Text,Sports,"['wildlife', 'coding', 'fitness', 'learning', 'vacation', 'music']",learning
0092,Video,Nature,"['forest', 'education', 'fitness', 'travel', 'technology', 'nature']",fitness
0093,Reel,Fashion,"['sports', 'technology', 'culture', 'machinelearning']",sports
0094,Video,Health,"['machinelearning', 'culture', 'music', 'learning', 'coding']",culture
0095,Reel,Travel,"['music', 'learning', 'adventure']",music
0096,Reel,Travel,"['vacation', 'coding', 'education', 'beach']",vacation
0097,Text,Sports,"['travel', 'culture', 'learning', 'sports', 'AI']",sports
0098,Text,Fashion,"['fashion', 'adventure', 'food']",food
0099,Text,Fitness,"['music', 'AI', 'students', 'learning', 'culture', 'technology']",music
0100,Reel,Travel,"['science', 'food', 'education']",food
0101,Image,Technology,"['recipe', 'AI', 'nature']",recipe
0102,Reel,Music,"['beach', 'adventure', 'food', 'health', 'technology', 'forest', 'nature']",food
0103,Reel,Fitness,"['recipe', 'vacation', 'fashion', 'AI']",fashion
0104,Text,Technology,"['AI', 'forest', 'fitness', 'beach', 'recipe', 'culture']",forest
0105,Image,Cooking,"['beach', 'coding', 'students']",students
0106,Image,Nature,"['sports', 'education', 'art', 'vacation', 'music', 'adventure', 'science']",science
0107,Video,Cooking,"['vacation', 'AI', 'recipe']",vacation
0108,Video,Education,"['recipe', 'health', 'food', 'students', 'sports']",students
