post_id,post_country,post_language,likes_cnt,comments_cnt,saved_cnt,post_type
75e53ac4-7a48-427f-bfa9-d8f629b4fd96,Germany,English,312,419,90,Text
34e1d844-47ed-4d69-9ad7-ed624abb2317,Canada,French,638,133,3,Link
5d30b095-74a1-49d9-b037-59adbe358e54,India,German,108,247,125,Image
6811c717-4de9-41c5-962c-12a89e651cec,Germany,German,272,332,293,Video
3a3afe92-e2a2-4bfe-977b-44949f6bbed8,Germany,Hindi,197,470,35,Image
776e05dc-5678-49c1-83e2-b3e3dac533d0,USA,German,684,98,170,Image
aaa49b93-9172-4433-9541-c8924b022889,Canada,French,299,248,180,Video
3eac6ec7-c1f2-4b63-9114-fdb5a9958ab8,Australia,English,321,486,273,Image
7b8274ba-21f6-4621-8248-0efe8bc883c1,Canada,Spanish,785,352,51,Link
8b616d34-ac83-45e3-8436-8dd4de8b085a,Germany,German,567,404,229,Text
67d548a0-3a5d-4ae7-996c-de00dfe313cf,Australia,French,368,222,77,Image
9097fdf4-0190-4c24-9bd9-42882d903704,USA,Hindi,754,66,44,Image
730de440-5889-462f-bb3e-5271a3c36ae4,Germany,German,601,423,291,Video
829ece76-9a6e-4e31-9995-d6be418837ec,Australia,French,822,44,7,Image
22195261-e1a1-45d4-ae09-add240937ebb,Germany,French,634,33,207,Text
a8ba0749-87f6-40d9-b1c1-820e8e7ba620,Germany,Spanish,833,156,245,Image
4329d442-7200-419d-9414-d1327ce5f44f,Australia,Spanish,246,457,152,Video
27590ebf-9800-47b3-95c1-0bc9c108dabd,USA,French,893,299,106,Video
6adf73e2-531a-4e12-88ec-bfdebd698609,Canada,French,752,499,15,Text
192e4d1f-5162-4b1f-908b-71034233f8b6,India,German,655,52,70,Link
d182a7fc-e98c-4230-96ae-b0e29b79e5be,Canada,Hindi,173,244,260,Video
8d56d6d8-635b-4f84-9e9d-1deb2bd6e3e1,USA,German,208,500,189,Link
93981562-d31c-4fb8-9684-ad9743acc4a6,India,English,223,193,172,Link
b5695b46-fc2d-4853-8d86-13e4d0666cad,India,French,719,365,71,Link
455f5152-f3b9-499a-a423-5a1ab2a85805,Germany,German,448,75,161,Link
e417241a-2207-4437-81ef-169e33662c66,USA,English,376,30,12,Video
611d0983-9785-4b05-ac22-49386f3eba5d,Germany,English,706,33,6,Video
1dc23bcd-94ad-4b69-b52b-0961631c88e5,Australia,German,31,37,277,Video
85df62b9-9eb9-408b-a88a-083f4da3a66d,India,German,269,105,209,Image
b2a2375d-a862-4f54-b8c9-2b2bb3ec1926,Australia,Spanish,561,140,282,Link
45d1f243-fb3d-4862-ac13-b92df2c000ea,Australia,German,642,415,294,Text
78e3c90f-c2d7-49fc-b64e-d36aaed7f86a,Germany,Spanish,568,25,163,Link
6551d630-2ede-4a67-80a3-d3ae0d4a5468,Canada,German,981,403,170,Text
7599a6f0-a645-4d07-ba2b-87dda234643f,India,Hindi,732,351,179,Video
5b436fbd-0e0d-4e9b-9423-19a1bb6a7347,USA,German,745,58,170,Link
b6606f18-4a85-424f-84dd-ca1bf54d3d40,Canada,Hindi,819,170,273,Link
cc62afac-d3c2-4cd5-ba1b-232951d1d21d,Australia,French,175,50,247,Video
bd9f5e58-749e-4e8f-8e3c-edc234197379,Germany,Hindi,904,175,10,Text
b17abd35-dced-4ff4-9109-4dedbffff1ce,India,French,117,175,155,Text
1a391d80-ffa2-475e-8498-62f3669156b6,Australia,English,804,453,72,Link
dc7ad844-ee4a-4e7e-a789-1fa8a6f7144d,Australia,Hindi,152,4,250,Link
a88cfdfc-1515-4e58-ba32-ff4501f05ecf,Germany,English,705,165,11,Image
1b9ad19c-1e45-4cbb-bd89-93b5e0553d9e,Germany,German,101,416,207,Link
90a5091a-4674-4b6b-a348-fde065e4511a,Australia,English,811,126,272,Text
93f82ffb-46d1-4ac2-bc8a-fc4e5b007950,USA,English,806,191,208,Text
b1ba73b6-89e1-4153-b8ec-073c222635a2,USA,Spanish,706,162,61,Link
30337744-8bb4-4e58-8212-f47d9f999819,Canada,Hindi,536,263,144,Video
5fef3ada-f69f-4e11-a984-4247ed650a9a,Australia,French,171,107,282,Image
84b15672-94ff-45d3-97ed-7124caadb5e6,India,French,579,500,144,Image
8ec93f33-d997-4df4-b979-48266319c937,Germany,German,684,74,129,Video
f557af14-06eb-4a30-b5c2-0977618ab6b5,Canada,German,267,434,1,Video
8ddacf31-68e4-4b5d-8104-21606bf4772b,Australia,Spanish,143,192,59,Link
bdbed5e7-54d7-4f80-a38c-ec440531dde0,Canada,English,219,489,237,Link
67d79da7-559b-4523-ab66-ce5810bc5e48,Canada,English,781,53,57,Image
616bbcaf-117b-4e86-bf6c-fb1225e6a0c3,India,Hindi,80,343,246,Text
efee94b8-72c4-4d88-b101-ffde0b1a3b15,Germany,Hindi,259,121,44,Video
fe9d5587-7848-46e7-8456-1b40d858967f,USA,Spanish,404,67,10,Video
7f8084d6-3137-44b5-ad37-b64392db712c,Canada,French,687,219,81,Image
